,id,date,text,tag_class,source,lang,urls
0,t-1742695485276918270,2024-01-03T23:52:36Z,@tomcruise_de @TomCruise There is flooding in some parts of the uk☔☔☔☔🙄,,twitter,en,https://twitter.com/Raven070362/status/1742695485276918270
1,t-1742695307690066404,2024-01-03T23:51:53Z,Hundreds of flood warnings in place as UK still reeling from Storm Henk #flood #Henk #Hundreds #Place #reeling #Storm #warnings https://t.co/hopLVw5KOy,['flood-forecast'],twitter,en,https://twitter.com/TimeBlog_news/status/1742695307690066404
2,t-1742695013786501443,2024-01-03T23:50:43Z,"@BBCNWT £1.38m is a disgraceful amount of money for Cheshire East Council to be spending on mitigating an alleged 1:10,000 year flood risk. Poynton Pool was built more than 250 years ago and has never overflowed or breached the dam. This wildlife corridor should not be being threatened!","['flood-forecast', 'flood-damages']",twitter,en,https://twitter.com/PoyntonPool/status/1742695013786501443
3,t-1742694999211245691,2024-01-03T23:50:40Z,"Mobile homes in Britain's Northamptonshire were submerged by the floods, while water surged into nearby fields   ... https://t.co/iIzNVc9V67",['flood-damages'],twitter,en,https://twitter.com/Scoop_NewsTV/status/1742694999211245691
4,t-1742694831644717354,2024-01-03T23:50:00Z,"Mobile homes in Britain's Northamptonshire were submerged by the floods, while water surged into nearby fields https://t.co/KUF7k2qFdl https://t.co/doy2XGBbod",['flood-damages'],twitter,en,https://twitter.com/Reuters/status/1742694831644717354
5,t-1742694289526997462,2024-01-03T23:47:50Z,"@Nigelrefowens @FarmersWeekly @QUBFoodProf @hattiegarlick @SaveBritishFood @LizWebsterSBF @1GarethWynJones @Wyefarm @agricontract @redshepherdess @ZwartblesIE Enough of the ad-hominem attack. 

Is your defence of the meat and dairy industry based on the fact I own a motorcycle?

Are you denying anthropological climate change because I wear a cotton jumper?

So is #StormHenk flooding the UK because I skipped church this week?",['flood-damages'],twitter,en,https://twitter.com/GrahamNeale/status/1742694289526997462
6,t-1742694207607763406,2024-01-03T23:47:31Z,"@PGDynes Unique 20-year scheme to improve and maintain 240 kilometers (149 miles) of flood defenses within the Norfolk Broads, one of Europe’s most important wetland areas. Delivered in collaboration with Environment Agency and BAM Nuttall.",,twitter,en,https://twitter.com/God_of_Rave/status/1742694207607763406
7,t-1742693776366440605,2024-01-03T23:45:48Z,"The same storm, labelled #Henk on either side of the North Sea, brought gales and heavy rain to parts of England and Wales on Tuesday, causing power outages, disrupting train travel and forcing the closure of major roads because of flooding. @dfds_uk  https://t.co/ao3mJWr72a","['flood-logistics', 'flood-damages']",twitter,en,https://twitter.com/HowesNathan/status/1742693776366440605
8,t-1742693573236228192,2024-01-03T23:45:00Z,"Floodwaters engulf holiday park in Northamptonshire, UK https://t.co/xF3nmLWsYz",,twitter,en,https://twitter.com/ABSCBNNews/status/1742693573236228192
9,t-1742692456171258263,2024-01-03T23:40:33Z,"Worcester flooding

River levels are very high throughout worcestershire, this will continue for the next day or so due to rainfall in Wales

Many bridges and roads are closed

Stay safe!

https://t.co/WfKG6HJq92

https://t.co/MJJyzjbjDO

https://t.co/RuCRzyzel6 https://t.co/FYieZAb3N8",['flood-logistics'],twitter,en,https://twitter.com/richmoz1/status/1742692456171258263
10,t-1742692289028198906,2024-01-03T23:39:54Z,"The power of NASA imagery.  The ability to observe the extent of damage from natural disasters. 

This compassion is from today’s floods in England, Great Britain. 

I am super hopeful this technology combined with Ai will help us build better infrastructure that can withstand…",,twitter,en,https://twitter.com/ecoscientist22/status/1742692289028198906
11,t-1742691453825110300,2024-01-03T23:36:34Z,Aerial footage captures dramatic flooding in Loughborough as Storm Henk wreaks havoc video | UK news #CanadaUnion #UnitedNation #UnitedNations Dozens of homes were flooded when Grand Union canal began ... https://t.co/jFLkL4PAnq,['flood-damages'],twitter,en,https://twitter.com/AnneHCND/status/1742691453825110300
12,t-1742690361514815517,2024-01-03T23:32:14Z,"ODU receives $700,000 to address flooding in Norfolk
https://t.co/1ClLV2Y6Y1",,twitter,en,https://twitter.com/mkcgkwosev/status/1742690361514815517
